Topic,2020,2021,2022,2023,2024,2025,2026
AI,9,5,6,6,4,2,1
Aerospace,17,18,19,19,18,17,20
Agriculture,13,15,14,14,13,14,14
Aquaculture,21,19,18,17,19,20,19
Automation,8,8,8,8,8,8,7
Biotech,22,23,23,22,23,23,23
Circular Economy,26,24,20,23,21,21,22
Clean Tech,14,16,15,15,14,13,15
Construction,12,10,11,12,11,11,9
Cybersecurity,29,27,27,25,22,22,25
Data,15,11,12,16,16,15,11
Energy,28,28,28,29,24,29,27
Environment,10,9,9,9,9,9,4
Health,7,4,5,4,7,10,5
IP,27,22,16,2,3,3,13
IoT,23,25,21,27,28,24,26
Manufacturing,4,3,7,5,5,7,8
Marketing,2,7,3,7,6,5,6
Materials,18,14,17,18,17,18,17
Mining,20,21,25,21,20,19,21
Quantum,30,30,30,30,30,30,30
R&D,3,1,1,1,1,1,2
Small Business,16,13,13,13,15,16,16
Software,1,2,2,3,2,4,3
Telecom,24,20,24,20,29,25,29
Trade,5,26,26,24,26,27,18
Transportation,11,12,10,11,12,12,12
VR/AR,19,17,22,26,25,26,28
Water,25,29,29,28,27,28,24
Workforce,6,6,4,10,10,6,10
